2024-03-20|10:45:00|Annual membership renewal|Gym|-199.00
2023-11-11|14:15:00|Advertisement expense|Google Ads|-500.00
2022-09-05|12:00:00|Consultation fee|XYZ Consulting|-350.00
2024-04-15|14:30:00|Employee training expense|Training Center|-200.00
2024-04-05|15:30:00|Travel reimbursement|Company|300.00
2023-01-22|08:10:05|Printer ink cartridges|Office Depot|-45.50
2022-12-03|14:00:00|Freelance project payment|Client A|750.00
2022-08-20|15:45:20|Office chair purchase|Staples|-199.99
2024-04-10|12:00:00|Website maintenance fee|Web Developer|-150.00
2024-07-05|16:00:00|Marketing campaign expense|Marketing Agency|-1000.00
2024-11-25|10:00:00|Product launch event expense|Event Planner|-700.00
2024-12-05|12:45:00|Office furniture purchase|Furniture Store|-600.00
2023-04-28|16:55:40|Business dinner expense|Restaurant XYZ|-85.75
2023-03-05|11:30:15|Utilities bill payment|Utility Company|-150.00
2022-11-12|10:20:30|Website hosting renewal|GoDaddy|-120.00
2024-06-10|11:45:00|Consulting fee payment|Consultant C|-450.00
2023-09-30|09:45:30|Software subscription renewal|Adobe|-299.99
2024-12-25|08:00:00|Holiday bonus|Company|800.00
2024-12-31|16:30:00|End-of-year party expense|Event Venue|-1000.00
2024-09-18|09:30:00|Monthly subscription fee|Streaming Service|-14.99
2022-06-10|09:30:45|Wire transfer received|Bank|5000.00
2024-02-14|08:30:00|Valentine's Day gift purchase|Gift Shop|-50.00
2024-04-15|09:00:00|Tax refund|Government|500.00
2024-08-20|14:00:00|Customer refund|Company|150.00
2023-06-18|10:00:00|Sales revenue|Customer B|1200.00
2024-05-01|10:15:00|New laptop purchase|Electronics Store|-899.99
2024-10-12|13:20:00|Conference ticket purchase|Conference Organizer|-250.00
2024-05-02|11:29:54|sgdij|sgigs|210.0
2024-05-02|11:31:27|gfdgdfs|sfgdsg|230.0
2024-05-02|11:34:44|dgfdgsf|ggdfdgfs|-320.0
2024-05-02|11:35:07|dgfdsgf|gdfdgsfgsdf|-320.0
